,s80,p80,SAR
274,0.04,0.16,0.33
275,0.04,0.16,0.34
276,0.04,0.16,0.35
277,0.04,0.16,0.36
278,0.04,0.16,0.37
279,0.04,0.16,0.38
280,0.04,0.16,0.39
281,0.04,0.16,0.4
282,0.04,0.16,0.41
283,0.04,0.16,0.42
284,0.04,0.16,0.43
285,0.04,0.16,0.44
286,0.04,0.16,0.45
287,0.04,0.16,0.46
288,0.04,0.16,0.47
289,0.04,0.16,0.48
290,0.04,0.16,0.49
291,0.04,0.16,0.5
292,0.04,0.16,0.51
293,0.04,0.16,0.52
294,0.04,0.16,0.53
295,0.04,0.16,0.54
296,0.04,0.16,0.55
297,0.04,0.16,0.56
298,0.04,0.16,0.57
299,0.04,0.16,0.58
300,0.04,0.16,0.59
301,0.04,0.16,0.6
302,0.04,0.18,0.22
303,0.04,0.18,0.23
304,0.04,0.18,0.24
305,0.04,0.18,0.25
306,0.04,0.18,0.26
307,0.04,0.18,0.27
308,0.04,0.18,0.28
309,0.04,0.18,0.29
310,0.04,0.18,0.3
311,0.04,0.18,0.31
312,0.04,0.18,0.32
313,0.04,0.18,0.33
314,0.04,0.18,0.34
315,0.04,0.18,0.35
316,0.04,0.18,0.36
317,0.04,0.18,0.37
318,0.04,0.18,0.38
319,0.04,0.18,0.39
320,0.04,0.18,0.4
321,0.04,0.18,0.41
322,0.04,0.18,0.42
323,0.04,0.18,0.43
324,0.04,0.18,0.44
325,0.04,0.18,0.45
326,0.04,0.18,0.46
327,0.04,0.18,0.47
328,0.04,0.18,0.48
329,0.04,0.18,0.49
330,0.04,0.18,0.5
331,0.04,0.18,0.51
332,0.04,0.18,0.52
333,0.04,0.18,0.53
334,0.04,0.18,0.54
335,0.04,0.18,0.55
336,0.04,0.18,0.56
337,0.04,0.18,0.57
338,0.04,0.18,0.58
339,0.04,0.18,0.59
340,0.04,0.18,0.6
341,0.04,0.2,0.23
342,0.04,0.2,0.24
343,0.04,0.2,0.25
344,0.04,0.2,0.26
345,0.04,0.2,0.27
346,0.04,0.2,0.28
347,0.04,0.2,0.29
348,0.04,0.2,0.3
349,0.04,0.2,0.31
350,0.04,0.2,0.32
351,0.04,0.2,0.33
352,0.04,0.2,0.34
353,0.04,0.2,0.35
354,0.04,0.2,0.36
355,0.04,0.2,0.37
356,0.04,0.2,0.38
357,0.04,0.2,0.39
358,0.04,0.2,0.4
359,0.04,0.2,0.41
360,0.04,0.2,0.42
361,0.04,0.2,0.43
362,0.04,0.2,0.44
363,0.04,0.2,0.45
364,0.04,0.2,0.46
365,0.04,0.2,0.47
366,0.04,0.2,0.48
367,0.04,0.2,0.49
368,0.04,0.2,0.5
369,0.04,0.2,0.51
370,0.04,0.2,0.52
371,0.04,0.2,0.53
372,0.04,0.2,0.54
373,0.04,0.2,0.55
374,0.04,0.2,0.56
375,0.04,0.2,0.57
376,0.04,0.2,0.58
377,0.04,0.2,0.59
378,0.04,0.2,0.6
379,0.04,0.22,0.24
380,0.04,0.22,0.25
381,0.04,0.22,0.26
382,0.04,0.22,0.27
383,0.04,0.22,0.28
384,0.04,0.22,0.29
385,0.04,0.22,0.3
386,0.04,0.22,0.31
387,0.04,0.22,0.32
388,0.04,0.22,0.33
389,0.04,0.22,0.34
390,0.04,0.22,0.35
391,0.04,0.22,0.36
392,0.04,0.22,0.37
393,0.04,0.22,0.38
394,0.04,0.22,0.39
395,0.04,0.22,0.4
396,0.04,0.22,0.41
397,0.04,0.22,0.42
398,0.04,0.22,0.43
399,0.04,0.22,0.44
400,0.04,0.22,0.45
401,0.04,0.22,0.46
402,0.04,0.22,0.47
403,0.04,0.22,0.48
404,0.04,0.22,0.49
405,0.04,0.22,0.5
406,0.04,0.22,0.51
407,0.04,0.22,0.52
408,0.04,0.22,0.53
409,0.04,0.22,0.54
410,0.04,0.22,0.55
411,0.04,0.22,0.56
412,0.04,0.22,0.57
413,0.04,0.22,0.58
414,0.04,0.22,0.59
415,0.04,0.22,0.6
416,0.04,0.24,0.25
417,0.04,0.24,0.26
418,0.04,0.24,0.27
419,0.04,0.24,0.28
420,0.04,0.24,0.29
421,0.04,0.24,0.3
422,0.04,0.24,0.31
423,0.04,0.24,0.32
424,0.04,0.24,0.33
425,0.04,0.24,0.34
