s80,p80,SAR,beta
0.1,0.12,0.6,0.9999989823936443
0.1,0.14,0.05,0.031884187498937434
0.1,0.14,0.06,0.042968061748898286
0.1,0.14,0.07,0.05575624050397548
0.1,0.14,0.08,0.07034887895263332
0.1,0.14,0.09,0.08685761821396926
0.1,0.14,0.1,0.10540490119397769
0.1,0.14,0.11,0.12612384484322
0.1,0.14,0.12,0.14915840655657958
0.1,0.14,0.13,0.17466374587534156
0.1,0.14,0.14,0.2028067667318469
0.1,0.14,0.15,0.2337667819812939
0.1,0.14,0.16,0.2677363226933455
0.1,0.14,0.17,0.3049219334741665
0.1,0.14,0.18,0.34554526040195743
0.1,0.14,0.19,0.38984400488313553
0.1,0.14,0.2,0.43807370324460565
0.1,0.14,0.21,0.490507908536396
0.1,0.14,0.22,0.5474408177318163
0.1,0.14,0.23,0.609188413671713
0.1,0.14,0.24,0.6760900867317101
0.1,0.14,0.25,0.7485098014465446
0.1,0.14,0.26,0.8268433186423334
0.1,0.14,0.27,0.9115101087084312
0.1,0.14,0.28,0.9998991704060858
0.1,0.14,0.29,0.9999988532104404
0.1,0.14,0.3,0.9999983470193567
0.1,0.14,0.31,0.9999989955568965
0.1,0.14,0.32,0.9999989999589478
0.1,0.14,0.33,0.9999985066293148
0.1,0.14,0.34,0.9999989204769844
0.1,0.14,0.35,0.9999989809517152
0.1,0.14,0.36,0.9999989948443709
0.1,0.14,0.37,0.9999989984526259
0.1,0.14,0.38,0.9999989994925833
0.1,0.14,0.39,0.9999989998203656
0.1,0.14,0.4,0.9999989999320221
0.1,0.14,0.41,0.9999989999727146
0.1,0.14,0.42,0.9999989999884616
0.1,0.14,0.43,0.9999989999948884
0.1,0.14,0.44,0.9999989999976394
0.1,0.14,0.45,0.9999989999988678
0.1,0.14,0.46,0.999998999999438
0.1,0.14,0.47,0.9999989999997122
0.1,0.14,0.48,0.9999989999998483
0.1,0.14,0.49,0.9999985956924695
0.1,0.14,0.5,0.999998691979893
0.1,0.14,0.51,0.9999987629332383
0.1,0.14,0.52,0.9999988158298199
0.1,0.14,0.53,0.9999988556586307
0.1,0.14,0.54,0.9999988859553323
0.1,0.14,0.55,0.9999989091963473
0.1,0.14,0.56,0.9999989271737089
0.1,0.14,0.57,0.9999989412059374
0.1,0.14,0.58,0.9999989522296795
0.1,0.14,0.59,0.9999989609538238
0.1,0.14,0.6,0.9999989679047835
0.1,0.16,0.05,0.02948304290554094
0.1,0.16,0.06,0.03956628591636169
0.1,0.16,0.07,0.05115185871499043
0.1,0.16,0.08,0.06432343630788148
0.1,0.16,0.09,0.07917456925383377
0.1,0.16,0.1,0.0958081125332925
0.1,0.16,0.11,0.11433600077241923
0.1,0.16,0.12,0.13487931633005631
0.1,0.16,0.13,0.15756862282775813
0.1,0.16,0.14,0.1825442521064756
0.1,0.16,0.15,0.20995695206903428
0.1,0.16,0.16,0.2399684332512163
0.1,0.16,0.17,0.2727521795818835
0.1,0.16,0.18,0.3084940699793848
0.1,0.16,0.19,0.3473934544327412
0.1,0.16,0.2,0.38966394854070674
0.1,0.16,0.21,0.4355351153412146
0.1,0.16,0.22,0.4852524523605689
0.1,0.16,0.23,0.5390799258987716
0.1,0.16,0.24,0.5973000467634846
0.1,0.16,0.25,0.6602194848324371
0.1,0.16,0.26,0.7281625265594016
